"Name","src_domain","tar_domain","tar_acc.max","lr","use_tar_entropy_loss","use_domain_adv","epochs","src_acc","src_acc.max","best_src_acc","best_tar_acc"
"log/CWRU_small2_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","3_all_spectrogram","0.8659139275550842","0.0001","true","true","200","","1","","0.8659139275550842"
"log/CWRU_small1_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","3_all_spectrogram","0.9082568883895874","0.0001","true","true","200","","1","","0.9082568883895874"
"log/CWRU_small0_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","3_all_spectrogram","0.4841213822364807","0.0001","true","true","200","","1","","0.4841213822364807"
"log/CWRU_small3_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","2_all_spectrogram","0.9123674631118774","0.0001","true","true","200","","1","","0.9123674631118774"
"log/CWRU_small1_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","2_all_spectrogram","0.9915194511413574","0.0001","true","true","200","","1","","0.9915194511413574"
"log/CWRU_small0_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","2_all_spectrogram","0.6763250827789307","0.0001","true","true","200","","1","","0.6763250827789307"
"log/CWRU_small2_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","1_all_spectrogram","0.9264497756958008","0.0001","true","true","200","","1","","0.9264497756958008"
"log/CWRU_small3_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","1_all_spectrogram","0.8387553095817566","0.0001","true","true","200","","1","","0.8387553095817566"
"log/CWRU_small0_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","1_all_spectrogram","0.8811880946159363","0.0001","true","true","200","","1","","0.8811880946159363"
"log/CWRU_small3_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","0_all_spectrogram","0.6843220591545105","0.0001","true","true","200","","1","","0.6843220591545105"
"log/CWRU_small2_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","0_all_spectrogram","0.7591807842254639","0.0001","true","true","200","","1","","0.7591807842254639"
"log/CWRU_small1_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","0_all_spectrogram","0.758474588394165","0.0001","true","true","200","","1","","0.758474588394165"
