"Name","src_domain","tar_domain","tar_acc.max","lr","use_tar_entropy_loss","use_domain_adv","epochs","src_acc","src_acc.max","best_src_acc","best_tar_acc"
"log/PU1toPU3_lr0.0001_e200_b128","1","3","0.6972188949584961","0.0001","false","false","200","","0.97570139169693","0.97570139169693",""
"log/PU2toPU3_lr0.0001_e200_b128","2","3","0.8867331743240356","0.0001","false","false","200","","1","1",""
"log/PU0toPU3_lr0.0001_e200_b128","0","3","0.9130006432533264","0.0001","false","false","200","","1","1",""
"log/PU3toPU2_lr0.0001_e200_b128","3","2","0.9108486771583556","0.0001","false","false","200","","1","1",""
"log/PU3toPU0_lr0.0001_e200_b128","3","0","0.9150732159614564","0.0001","false","false","200","","0.9999467730522156","0.9999467730522156",""
"log/PU0toPU1_lr0.0001_e200_b128","0","1","0.6134868264198303","0.0001","false","false","200","","0.9959254264831544","0.9959254264831544",""
"log/PU2toPU1_lr0.0001_e200_b128","2","1","0.6213998198509216","0.0001","false","false","200","","0.9744408130645752","0.9744408130645752",""
"log/PU3toPU1_lr0.0001_e200_b128","3","1","0.5968347787857056","0.0001","false","false","200","","0.995209574699402","0.995209574699402",""
"log/PU1toPU2_lr0.0001_e200_b128","1","2","0.7459241151809692","0.0001","false","false","200","","0.950523555278778","0.950523555278778",""
"log/PU0toPU2_lr0.0001_e200_b128","0","2","0.9882177710533142","0.0001","false","false","200","","1","1",""
"log/PU2toPU0_lr0.0001_e200_b128","2","0","0.9855392575263976","0.0001","false","false","200","","1","1",""
"log/PU1toPU0_lr0.0001_e200_b128","1","0","0.755099892616272","0.0001","false","false","200","","0.9690672159194946","0.9690672159194946",""
